Facility,Location,Date,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,Total Count,Status
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/16/23 0:00,1,7,14,16,25,32,39,48,51,37,36,45,38,33,51,55,48,46,30,648,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/16/23 0:00,6,17,15,24,40,43,59,68,71,47,47,63,55,60,48,54,49,47,40,852,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/16/23 0:00,1,6,18,19,20,28,54,71,69,50,32,31,33,34,49,55,52,38,,658,Active
Marino Recreation Center,Marino Center - Track,1/17/23 0:00,,2,4,8,5,6,3,7,7,9,9,12,9,6,10,19,20,11,,145,Active
Marino Recreation Center,Marino Center - Studio A,1/17/23 0:00,0,2,2,5,4,1,8,6,5,4,4,8,10,11,9,7,8,10,,100,Active
Marino Recreation Center,Marino Center - Studio B,1/17/23 0:00,0,2,2,4,2,3,4,5,7,6,9,10,9,10,20,8,11,13,,122,Active
Marino Recreation Center,Marino Center - Gymnasium,1/17/23 0:00,4,5,3,8,15,18,10,18,20,30,55,66,57,59,55,54,71,73,,619,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/17/23 0:00,,26,28,51,43,54,42,52,40,50,50,55,51,52,65,81,73,38,,849,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/17/23 0:00,2,27,30,43,36,56,64,54,50,64,65,75,69,76,58,58,68,60,,953,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/17/23 0:00,,24,42,44,32,34,46,65,39,48,57,66,66,77,63,68,72,73,,917,Active
Marino Recreation Center,Marino Center - Track,1/18/23 0:00,1,5,6,5,7,4,4,10,7,1,2,8,10,9,11,9,9,8,,113,Active
Marino Recreation Center,Marino Center - Studio A,1/18/23 0:00,,1,4,3,2,5,6,8,5,6,7,7,7,8,15,10,8,8,0,110,Active
Marino Recreation Center,Marino Center - Studio B,1/18/23 0:00,,1,3,3,3,4,5,6,4,3,10,15,15,15,16,8,7,5,0,122,Active
Marino Recreation Center,Marino Center - Gymnasium,1/18/23 0:00,,2,10,10,6,8,13,15,15,18,40,43,44,45,72,62,69,43,25,540,Active
Marino Recreation Center,Marino Center - 3rd Floor Select & Cardio,1/18/23 0:00,10,20,28,33,33,34,64,80,50,44,66,33,36,38,62,61,65,53,,807,Active
Marino Recreation Center,Marino Center - 3rd Floor Weight Room,1/18/23 0:00,19,38,48,36,48,42,56,71,45,41,67,67,65,67,52,56,49,54,,919,Active
Marino Recreation Center,Marino Center - 2nd Floor,1/18/23 0:00,,19,35,37,49,34,39,42,36,35,51,46,64,73,76,57,65,36,17,810,Active
Marino Recreation Center,Marino Center - Track,1/19/23 0:00,1,5,10,8,2,9,5,4,4,3,2,8,8,14,2,1,2,5,5,94,Active
Marino Recreation Center,Marino Center - Studio A,1/19/23 0:00,0,2,3,8,8,7,8,10,7,6,9,9,13,8,13,9,19,15,,153,Active
Marino Recreation Center,Marino Center - Studio B,1/19/23 0:00,0,3,2,3,5,4,4,5,3,4,9,8,9,9,23,20,13,11,,133,Active
Marino Recreation Center,Marino Center - Gymnasium,1/19/23 0:00,1,8,16,18,14,13,18,10,9,12,14,23,34,30,34,38,40,49,,379,Active
